Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage (GB)
FAILURE,9/9/19 10:49,9/9/19 10:52,Product 3,6,40
FAILURE,9/9/19 10:07,9/9/19 10:11,Product 3,6,40
FAILURE,9/9/19 7:53,9/9/19 7:57,Product 3,6,40
FAILURE,9/9/19 6:05,9/9/19 6:09,Product 3,6,40
FAILURE,9/8/19 20:25,9/8/19 20:29,Product 3,6,40
FAILURE,9/8/19 6:53,9/8/19 6:56,Product 3,6,40
FAILURE,9/8/19 0:31,9/9/19 11:03,Product 3,6,40
FAILURE,9/8/19 0:27,9/8/19 0:31,Product 3,6,40
FAILURE,9/7/19 19:22,9/7/19 19:25,Product 3,6,40
FAILURE,9/7/19 18:52,9/7/19 18:54,Product 3,6,40
FAILURE,9/7/19 17:41,9/7/19 17:45,Product 3,6,40
FAILURE,9/7/19 15:51,9/7/19 15:55,Product 3,6,40
FAILURE,9/6/19 22:33,9/6/19 22:37,Product 3,6,40
FAILURE,9/6/19 21:23,9/6/19 21:27,Product 3,6,40
SUCCESS,9/5/19 21:38,9/5/19 21:55,Product 1 ,48,2400
FAILURE,9/5/19 20:14,9/5/19 20:20,Product 1 ,48,2400
CANCELLED,9/5/19 20:12,9/5/19 20:13,Product 1 ,48,2400
FAILURE,9/5/19 18:04,9/5/19 18:28,Product 1 ,48,2400
FAILURE,9/5/19 17:52,9/5/19 17:54,Product 1 ,48,2400
FAILURE,9/5/19 16:45,9/5/19 16:48,Product 1 ,48,2400
FAILURE,9/5/19 16:36,9/5/19 16:39,Product 1 ,48,2400
FAILURE,9/5/19 7:57,9/5/19 8:16,Product 3,6,40
SUCCESS,9/2/19 2:38,9/2/19 3:47,Product 4,144,19200
FAILURE,8/30/19 18:55,8/30/19 18:58,Product 1 ,144,19200
FAILURE,8/30/19 18:41,8/30/19 18:46,Product 1 ,144,19200
FAILURE,8/29/19 21:23,8/29/19 21:27,Product 1 ,48,2400
SUCCESS,8/28/19 22:11,8/28/19 23:17,Product 3,6,40
SUCCESS,8/28/19 19:05,8/28/19 19:52,Product 5,14,960
CANCELLED,8/26/19 20:03,8/26/19 20:03,Product 3,6,40
SUCCESS,8/23/19 19:03,8/23/19 20:14,Product 3,6,40
SUCCESS,8/23/19 19:03,8/23/19 20:15,Product 3,6,40
FAILURE,8/22/19 3:57,8/22/19 4:54,Product 2,16,960
SUCCESS,8/21/19 12:53,8/21/19 13:41,Product 5,14,960
SUCCESS,8/21/19 2:42,8/21/19 3:17,Product 1 ,48,2400
CANCELLED,8/20/19 21:59,8/20/19 21:59,Product 3,6,40
SUCCESS,8/19/19 14:36,8/19/19 15:20,Product 2,16,960
SUCCESS,8/16/19 17:32,8/16/19 18:24,Product 4,48,4800
SUCCESS,8/14/19 16:18,8/14/19 16:56,Product 1 ,48,2400
SUCCESS,8/13/19 16:25,8/13/19 17:09,Product 5,14,960
SUCCESS,8/11/19 6:07,8/11/19 6:51,Product 5,14,960
SUCCESS,8/9/19 14:47,8/9/19 15:38,Product 5,14,960
SUCCESS,8/8/19 9:05,8/8/19 10:13,Product 3,6,40
SUCCESS,8/7/19 23:26,8/8/19 0:11,Product 2,32,7200
SUCCESS,8/7/19 16:15,8/7/19 17:27,Product 3,6,40
SUCCESS,8/7/19 16:05,8/7/19 17:16,Product 3,6,40
CANCELLED,8/7/19 15:56,8/7/19 15:57,Product 3,6,40
SUCCESS,8/6/19 16:46,8/6/19 17:36,Product 2,16,960
SUCCESS,8/6/19 16:38,8/6/19 17:50,Product 3,6,40
CANCELLED,8/6/19 16:37,8/6/19 16:38,Product 3,6,40
SUCCESS,8/5/19 18:21,8/5/19 19:28,Product 3,6,40
SUCCESS,8/5/19 14:27,8/5/19 15:13,Product 5,14,960
SUCCESS,8/3/19 21:20,8/3/19 22:08,Product 5,14,960
SUCCESS,8/2/19 14:53,8/2/19 15:06,Product 3,6,40
FAILURE,8/2/19 13:46,8/2/19 14:52,Product 3,6,40
FAILURE,8/1/19 20:29,8/1/19 20:39,Product 3,6,40
FAILURE,8/1/19 20:23,8/1/19 20:27,Product 3,6,40
FAILURE,8/1/19 20:19,8/1/19 20:20,Product 3,6,40
SUCCESS,8/1/19 19:57,8/1/19 20:06,Product 3,6,40
SUCCESS,8/1/19 17:51,8/1/19 19:03,Product 3,6,40
SUCCESS,8/1/19 17:41,8/1/19 18:53,Product 3,6,40
SUCCESS,8/1/19 17:13,8/1/19 18:29,Product 3,6,40
SUCCESS,8/1/19 17:13,8/1/19 18:28,Product 3,6,40
SUCCESS,8/1/19 17:07,8/1/19 18:25,Product 3,6,40
SUCCESS,8/1/19 17:03,8/1/19 18:14,Product 3,6,40
FAILURE,8/1/19 15:26,8/1/19 16:28,Product 3,6,40
FAILURE,7/31/19 16:12,7/31/19 16:23,Product 3,6,40
FAILURE,7/31/19 15:54,7/31/19 16:01,Product 3,6,40
FAILURE,7/31/19 15:46,7/31/19 15:53,Product 3,6,40
FAILURE,7/31/19 14:09,7/31/19 14:18,Product 3,6,40
FAILURE,7/31/19 13:45,7/31/19 13:48,Product 3,6,40
CANCELLED,7/30/19 19:25,7/31/19 2:32,Product 3,6,40
FAILURE,7/30/19 11:35,7/30/19 11:38,Product 2,16,960
SUCCESS,7/29/19 14:05,7/29/19 14:55,Product 5,14,960
SUCCESS,7/27/19 10:55,7/27/19 11:39,Product 5,14,960
FAILURE,7/26/19 16:36,7/26/19 17:18,Product 4,120,2400
CANCELLED,7/23/19 12:55,7/23/19 12:57,Product 5,14,960
SUCCESS,7/19/19 17:21,7/19/19 18:33,Product 3,6,40
SUCCESS,7/19/19 17:01,7/19/19 18:13,Product 3,6,40
